Serial_No,Time,Fin,Ca0,Cb0,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,18:14:59,0.02,100.0,100.0,293.0,0.0,293.0,0.01,99.8488,99.8488,0.1512,0.1512,293.0016,293.0,1.0,0.1512
2,18:15:00,0.02,100.0,100.0,293.0,0.0,293.0,0.01,99.6995,99.6995,0.3005,0.3005,293.0032,293.0,1.0,0.3005
3,18:15:01,0.02,100.0,100.0,293.0,0.0,293.0,0.01,99.5521,99.5521,0.4479,0.4479,293.0048,293.0,1.0,0.4479
4,18:15:02,0.02,100.0,100.0,293.0,0.0,293.0,0.01,99.4066,99.4066,0.5934,0.5934,293.0064,293.0,1.0,0.5934
5,18:15:03,0.02,100.0,100.0,293.0,0.0,293.0,0.01,99.263,99.263,0.737,0.737,293.0079,293.0,1.0,0.737
6,18:15:04,0.02,100.0,100.0,293.0,0.0,293.0,0.01,99.1213,99.1213,0.8787,0.8787,293.0094,293.0,1.0,0.8787
7,18:15:05,0.02,100.0,100.0,293.0,0.0,293.0,0.01,98.9813,98.9813,1.0187,1.0187,293.0109,293.0,1.0,1.0187
8,18:15:06,0.02,100.0,100.0,293.0,0.0,293.0,0.01,98.8432,98.8432,1.1568,1.1568,293.0124,293.0001,1.0,1.1568
9,18:15:07,0.02,100.0,100.0,293.0,0.0,293.0,0.01,98.7068,98.7068,1.2932,1.2932,293.0139,293.0001,1.0,1.2932
10,18:15:08,0.02,100.0,100.0,293.0,0.0,293.0,0.01,98.5722,98.5722,1.4278,1.4278,293.0153,293.0001,1.0,1.4278
11,18:15:09,0.02,100.0,100.0,293.0,0.0,293.0,0.01,98.4393,98.4393,1.5607,1.5607,293.0167,293.0001,1.0,1.5607
12,18:15:10,0.02,100.0,100.0,293.0,0.0,293.0,0.01,98.3081,98.3081,1.6919,1.6919,293.0181,293.0001,1.0,1.6919
13,18:15:11,0.02,100.0,100.0,293.0,0.0,293.0,0.01,98.1786,98.1786,1.8214,1.8214,293.0195,293.0002,1.0,1.8214
14,18:15:12,0.02,100.0,100.0,293.0,0.0,293.0,0.01,98.0507,98.0507,1.9493,1.9493,293.0209,293.0002,1.0,1.9493
15,18:15:13,0.02,100.0,100.0,293.0,0.0,293.0,0.01,97.9245,97.9245,2.0755,2.0755,293.0222,293.0002,1.0,2.0755
16,18:15:14,0.02,100.0,100.0,293.0,0.0,293.0,0.01,97.7999,97.7999,2.2001,2.2001,293.0236,293.0002,1.0,2.2001
17,18:15:15,0.02,100.0,100.0,293.0,0.0,293.0,0.01,97.6769,97.6769,2.3231,2.3231,293.0249,293.0003,1.0,2.3231
18,18:15:16,0.02,100.0,100.0,293.0,0.0,293.0,0.01,97.5555,97.5555,2.4445,2.4445,293.0262,293.0003,1.0,2.4445
19,18:15:17,0.02,100.0,100.0,293.0,0.0,293.0,0.01,97.4357,97.4357,2.5643,2.5643,293.0275,293.0003,1.0,2.5643
20,18:15:18,0.02,100.0,100.0,293.0,0.0,293.0,0.01,97.3173,97.3173,2.6827,2.6827,293.0287,293.0003,1.0,2.6827
