Serial_No,Time,FA0,FB0,CAin,CBin,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa
1,01:05:33,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.6216,99.6216,0.2678,0.2678,302.9794,293.0291,0.5,0.0
2,01:05:34,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,99.2463,99.2463,0.5326,0.5326,302.9589,293.0566,0.5,0.0
3,01:05:35,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.8742,98.8742,0.7945,0.7945,302.9385,293.0827,0.5,0.0
4,01:05:36,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.5051,98.5051,1.0536,1.0536,302.9183,293.1073,0.5,0.0
5,01:05:37,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,98.1392,98.1392,1.3099,1.3099,302.8981,293.1307,0.5,0.0
6,01:05:38,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.7762,97.7762,1.5634,1.5634,302.8781,293.1527,0.5,0.0
7,01:05:39,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.4162,97.4162,1.8142,1.8142,302.8583,293.1736,0.5,0.0
8,01:05:40,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,97.0592,97.0592,2.0622,2.0622,302.8385,293.1933,0.5,0.0
9,01:05:41,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,96.7051,96.7051,2.3076,2.3076,302.8188,293.2119,0.5,0.0
10,01:05:42,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,96.3538,96.3538,2.5504,2.5504,302.7993,293.2296,0.5,0.0
11,01:05:43,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,96.0054,96.0054,2.7905,2.7905,302.7799,293.2462,0.5,0.0
12,01:05:44,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,95.6599,95.6599,3.0281,3.0281,302.7605,293.262,0.5,0.0
13,01:05:45,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,95.3171,95.3171,3.2631,3.2631,302.7413,293.2769,0.5,0.0
14,01:05:46,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,94.977,94.977,3.4956,3.4956,302.7222,293.2909,0.5,0.0
15,01:05:47,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,94.6397,94.6397,3.7256,3.7256,302.7031,293.3042,0.5,0.0
16,01:05:48,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,94.305,94.305,3.9532,3.9532,302.6842,293.3167,0.5,0.0
17,01:05:49,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,93.973,93.973,4.1784,4.1784,302.6653,293.3285,0.5,0.0
18,01:05:50,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,93.6437,93.6437,4.4012,4.4012,302.6466,293.3397,0.5,0.0
19,01:05:51,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,93.3169,93.3169,4.6216,4.6216,302.6279,293.3502,0.5,0.0
20,01:05:52,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.9927,92.9927,4.8397,4.8397,302.6093,293.3602,0.5,0.0
21,01:05:53,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.6711,92.6711,5.0555,5.0555,302.5909,293.3695,0.5,0.0
22,01:05:54,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.3519,92.3519,5.269,5.269,302.5725,293.3784,0.5,0.0
23,01:05:55,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,92.0352,92.0352,5.4802,5.4802,302.5541,293.3867,0.5,0.0
24,01:05:56,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,91.721,91.721,5.6893,5.6893,302.5359,293.3945,0.5,0.0
25,01:05:57,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,91.4093,91.4093,5.8961,5.8961,302.5177,293.4019,0.5,0.0
26,01:05:58,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,91.0999,91.0999,6.1008,6.1008,302.4997,293.4089,0.5001,0.0
27,01:05:59,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,90.7929,90.7929,6.3033,6.3033,302.4817,293.4154,0.5001,0.0
28,01:06:00,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,90.4882,90.4882,6.5037,6.5037,302.4637,293.4216,0.5001,0.0
29,01:06:01,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,90.1859,90.1859,6.702,6.702,302.4459,293.4273,0.5001,0.0
30,01:06:02,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,89.8859,89.8859,6.8982,6.8982,302.4281,293.4328,0.5001,0.0
31,01:06:03,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,89.5882,89.5882,7.0924,7.0924,302.4105,293.4379,0.5001,0.0
32,01:06:04,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,89.2927,89.2927,7.2845,7.2845,302.3928,293.4426,0.5001,0.0
33,01:06:05,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,88.9994,88.9994,7.4747,7.4747,302.3753,293.4471,0.5001,0.0
34,01:06:06,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,88.7084,88.7084,7.6629,7.6629,302.3578,293.4513,0.5001,0.0
35,01:06:07,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,88.4195,88.4195,7.8491,7.8491,302.3404,293.4553,0.5001,0.0
36,01:06:08,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,88.1328,88.1328,8.0334,8.0334,302.3231,293.4589,0.5001,0.0
37,01:06:09,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,87.8482,87.8482,8.2158,8.2158,302.3058,293.4624,0.5001,0.0
38,01:06:10,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,87.5658,87.5658,8.3963,8.3963,302.2887,293.4656,0.5001,0.0
39,01:06:11,2.78e-06,2.78e-06,100.0,100.0,303.0,0.0,293.0,0.0001,87.2854,87.2854,8.5749,8.5749,302.2715,293.4686,0.5001,0.0
