Serial_No,Time,Fa,Fb,Ca_feed,Cb_feed,T0,Q,Tcin,Fc,Ca,Cb,Cc,Cd,T,Tc,h,Xa,Fin,Ca0_eff,k_f,rate_net
1,23:40:40,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.920842853375724,49.920842853375724,0.07915714662428011,0.07915714662428011,303.00294279374265,293.00876251981026,0.16670001234074244,0.1583142932485404,2.78e-06,50.0,3.2e-05,0.079076
2,23:40:41,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.84202362505021,49.84202362505021,0.15797637494979055,0.15797637494979055,303.0027876001117,293.0086079531591,0.16670002467463266,0.3159527498995618,2.78e-06,50.0,3.2e-05,0.078826
3,23:40:42,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.76354063009674,49.76354063009674,0.23645936990325928,0.23645936990325928,303.00263009392245,293.00860730567877,0.16670003700167446,0.4729187398065049,2.78e-06,50.0,3.2e-05,0.078578
4,23:40:43,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.685392045973956,49.685392045973956,0.31460795402604513,0.31460795402604513,303.0024703503003,293.0086071673379,0.1667000493218716,0.6292159080520721,2.78e-06,50.0,3.2e-05,0.078331
5,23:40:44,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.6075760628563,49.6075760628563,0.3924239371437005,0.3924239371437005,303.0023083967422,293.008607028145,0.16670006163522794,0.7848478742873755,2.78e-06,50.0,3.2e-05,0.078086
6,23:40:45,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.53009088352562,49.53009088352562,0.4699091164743865,0.4699091164743865,303.0021442603366,293.00860688707314,0.16670007394174724,0.9398182329487526,2.78e-06,50.0,3.2e-05,0.077842
7,23:40:46,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.45293472326159,49.45293472326159,0.5470652767384119,0.5470652767384119,303.0019779679232,293.00860674414406,0.16670008624143332,1.094130553476802,2.78e-06,50.0,3.2e-05,0.0776
8,23:40:47,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.37610580973337,49.37610580973337,0.6238941902666397,0.6238941902666397,303.00180954609556,293.00860659938047,0.16670009853428996,1.2477883805332546,2.78e-06,50.0,3.2e-05,0.077359
9,23:40:48,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.299602382892246,49.299602382892246,0.7003976171077658,0.7003976171077658,303.00163902120323,293.0086064528052,0.16670011082032096,1.4007952342154906,2.78e-06,50.0,3.2e-05,0.077119
10,23:40:49,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.223422694865526,49.223422694865526,0.7765773051344838,0.7765773051344838,303.0014664193541,293.0086063044407,0.1667001230995301,1.5531546102689364,2.78e-06,50.0,3.2e-05,0.076881
11,23:40:50,1.388888e-06,1.388888e-06,100,100,333,0,293,0.01,49.14756500985146,49.14756500985146,0.85243499014855,0.85243499014855,303.0012917664164,293.00860615430923,0.16670013537192122,1.7048699802970635,2.78e-06,50.0,3.2e-05,0.076644
